Days to election,Date,SevetyFive,Eighty,Eightyfive,ninty,nintyfive,nintynine
0,11/8/2016,1.22,1.36,1.53,1.76,2.09,2.74
1,11/7/2016,1.22,1.36,1.53,1.76,2.09,2.74
2,11/6/2016,1.22,1.35,1.52,1.75,2.07,2.72
3,11/5/2016,1.22,1.35,1.52,1.75,2.07,2.72
4,11/4/2016,1.22,1.35,1.52,1.75,2.07,2.73
5,11/3/2016,1.22,1.36,1.53,1.75,2.08,2.73
6,11/2/2016,1.22,1.36,1.53,1.75,2.08,2.73
7,11/1/2016,1.22,1.36,1.53,1.76,2.08,2.74
8,10/31/2016,1.23,1.37,1.54,1.77,2.09,2.75
9,10/30/2016,1.22,1.36,1.53,1.76,2.09,2.74
10,10/29/2016,1.22,1.36,1.52,1.75,2.08,2.73
11,10/28/2016,1.22,1.35,1.52,1.75,2.07,2.72
12,10/27/2016,1.2,1.34,1.51,1.73,2.05,2.7
13,10/26/2016,1.19,1.33,1.49,1.71,2.03,2.67
14,10/25/2016,1.18,1.31,1.48,1.7,2.01,2.65
15,10/24/2016,1.17,1.31,1.47,1.69,2,2.63
16,10/23/2016,1.17,1.3,1.46,1.68,1.99,2.62
17,10/22/2016,1.16,1.29,1.45,1.66,1.97,2.59
18,10/21/2016,1.14,1.27,1.43,1.64,1.95,2.56
19,10/20/2016,1.14,1.26,1.42,1.63,1.94,2.54
20,10/19/2016,1.13,1.26,1.41,1.62,1.92,2.53
21,10/18/2016,1.12,1.25,1.41,1.62,1.91,2.52
22,10/17/2016,1.12,1.25,1.41,1.62,1.91,2.52
23,10/16/2016,1.12,1.25,1.41,1.62,1.92,2.52
24,10/15/2016,1.12,1.25,1.41,1.62,1.91,2.52
25,10/14/2016,1.12,1.25,1.4,1.61,1.91,2.51
26,10/13/2016,1.12,1.25,1.4,1.61,1.91,2.51
27,10/12/2016,1.12,1.25,1.4,1.61,1.91,2.51
28,10/11/2016,1.09,1.22,1.37,1.57,1.86,2.45
29,10/10/2016,1.06,1.18,1.33,1.53,1.81,2.38
30,10/9/2016,1.03,1.15,1.29,1.48,1.76,2.31
31,10/8/2016,1,1.11,1.25,1.44,1.71,2.24
32,10/7/2016,0.97,1.07,1.21,1.39,1.65,2.16
33,10/6/2016,0.92,1.03,1.16,1.33,1.57,2.07
34,10/5/2016,0.89,0.99,1.12,1.28,1.52,1.99
35,10/4/2016,0.88,0.98,1.1,1.26,1.5,1.97
36,10/3/2016,0.86,0.96,1.08,1.24,1.47,1.94
37,10/2/2016,0.85,0.95,1.07,1.23,1.45,1.91
38,10/1/2016,0.85,0.94,1.06,1.22,1.44,1.9
39,9/30/2016,0.85,0.94,1.06,1.22,1.44,1.89
40,9/29/2016,0.85,0.95,1.06,1.22,1.45,1.9
41,9/28/2016,0.86,0.96,1.08,1.24,1.47,1.93
42,9/27/2016,0.9,1,1.12,1.29,1.53,2.01
43,9/26/2016,0.94,1.05,1.18,1.35,1.6,2.11
44,9/25/2016,0.99,1.1,1.24,1.43,1.69,2.22
45,9/24/2016,1.04,1.16,1.3,1.5,1.77,2.33
46,9/23/2016,1.09,1.21,1.36,1.57,1.86,2.44
47,9/22/2016,1.14,1.27,1.42,1.64,1.94,2.55
48,9/21/2016,1.17,1.3,1.46,1.68,1.99,2.62
49,9/20/2016,1.17,1.3,1.47,1.69,2,2.62
50,9/19/2016,1.17,1.3,1.46,1.68,1.99,2.62
51,9/18/2016,1.16,1.3,1.46,1.67,1.98,2.61
52,9/17/2016,1.15,1.28,1.43,1.65,1.95,2.57
53,9/16/2016,1.13,1.26,1.42,1.63,1.93,2.53
54,9/15/2016,1.11,1.23,1.39,1.59,1.89,2.48
55,9/14/2016,1.1,1.22,1.37,1.58,1.87,2.46
56,9/13/2016,1.09,1.22,1.37,1.57,1.86,2.45
57,9/12/2016,1.09,1.21,1.36,1.57,1.86,2.44
58,9/11/2016,1.07,1.2,1.35,1.55,1.83,2.41
59,9/10/2016,1.07,1.19,1.33,1.53,1.82,2.39
60,9/9/2016,1.06,1.18,1.33,1.53,1.81,2.38
61,9/8/2016,1.06,1.18,1.32,1.52,1.8,2.37
62,9/7/2016,1.05,1.17,1.32,1.52,1.8,2.36
63,9/6/2016,1.06,1.18,1.33,1.52,1.8,2.37
64,9/5/2016,1.08,1.2,1.35,1.55,1.83,2.41
65,9/4/2016,1.09,1.22,1.37,1.57,1.86,2.45
66,9/3/2016,1.1,1.22,1.37,1.58,1.87,2.46
67,9/2/2016,1.1,1.22,1.37,1.58,1.87,2.46
68,9/1/2016,1.09,1.21,1.36,1.57,1.86,2.44
69,8/31/2016,1.07,1.19,1.33,1.53,1.82,2.39
70,8/30/2016,1.03,1.15,1.29,1.48,1.76,2.31
71,8/29/2016,1,1.11,1.25,1.43,1.7,2.23
72,8/28/2016,0.97,1.08,1.22,1.4,1.66,2.18
73,8/27/2016,0.95,1.06,1.19,1.37,1.62,2.13
74,8/26/2016,0.94,1.05,1.18,1.35,1.6,2.1
75,8/25/2016,0.94,1.04,1.17,1.35,1.6,2.1
76,8/24/2016,0.94,1.05,1.18,1.36,1.61,2.11
77,8/23/2016,0.95,1.05,1.18,1.36,1.61,2.12
78,8/22/2016,0.94,1.05,1.18,1.36,1.61,2.11
79,8/21/2016,0.94,1.04,1.18,1.35,1.6,2.1
80,8/20/2016,0.96,1.07,1.21,1.39,1.64,2.16
81,8/19/2016,0.99,1.1,1.24,1.42,1.69,2.22
82,8/18/2016,1.03,1.14,1.29,1.48,1.75,2.3
83,8/17/2016,1.06,1.18,1.33,1.53,1.81,2.38
84,8/16/2016,1.1,1.23,1.38,1.59,1.88,2.47
85,8/15/2016,1.15,1.28,1.44,1.65,1.96,2.57
86,8/14/2016,1.16,1.3,1.46,1.67,1.98,2.61
87,8/13/2016,1.18,1.31,1.47,1.69,2,2.63
88,8/12/2016,1.17,1.3,1.46,1.68,1.99,2.62
89,8/11/2016,1.19,1.33,1.5,1.72,2.04,2.68
90,8/10/2016,1.2,1.34,1.51,1.73,2.05,2.7
91,8/9/2016,1.21,1.35,1.52,1.75,2.07,2.72
92,8/8/2016,1.22,1.36,1.53,1.76,2.08,2.74
93,8/7/2016,1.24,1.38,1.56,1.79,2.12,2.79
94,8/6/2016,1.25,1.39,1.57,1.8,2.13,2.81
95,8/5/2016,1.26,1.4,1.57,1.81,2.14,2.82
96,8/4/2016,1.26,1.4,1.58,1.81,2.14,2.82
97,8/3/2016,1.27,1.42,1.59,1.83,2.17,2.85
98,8/2/2016,1.28,1.43,1.6,1.84,2.18,2.87
99,8/1/2016,1.28,1.43,1.61,1.85,2.19,2.87
100,7/31/2016,1.31,1.46,1.65,1.89,2.24,2.94
101,7/30/2016,1.38,1.54,1.73,1.99,2.36,3.1
102,7/29/2016,1.49,1.65,1.86,2.14,2.53,3.33
103,7/28/2016,1.59,1.77,1.99,2.28,2.71,3.56
104,7/27/2016,1.72,1.91,2.15,2.47,2.92,3.84
105,7/26/2016,1.87,2.08,2.34,2.69,3.19,4.19
106,7/25/2016,2.04,2.27,2.55,2.93,3.48,4.57
107,7/24/2016,2.21,2.45,2.76,3.17,3.76,4.94
108,7/23/2016,2.38,2.65,2.98,3.42,4.06,5.33
109,7/22/2016,2.56,2.84,3.2,3.68,4.36,5.73
110,7/21/2016,2.74,3.05,3.43,3.94,4.67,6.13
111,7/20/2016,2.96,3.3,3.71,4.26,5.05,6.64
112,7/19/2016,3.17,3.53,3.97,4.56,5.4,7.1
113,7/18/2016,3.39,3.77,4.24,4.87,5.77,7.58
114,7/17/2016,3.61,4.02,4.52,5.19,6.15,8.08
115,7/16/2016,3.78,4.2,4.73,5.43,6.44,8.46
116,7/15/2016,3.93,4.37,4.92,5.65,6.69,8.8
117,7/14/2016,4.04,4.5,5.06,5.82,6.89,9.06
118,7/13/2016,4.15,4.62,5.2,5.97,7.07,9.3
119,7/12/2016,4.22,4.7,5.29,6.07,7.2,9.46
120,7/11/2016,4.27,4.75,5.35,6.14,7.28,9.57
121,7/10/2016,4.29,4.77,5.37,6.17,7.31,9.61
122,7/9/2016,4.39,4.89,5.5,6.31,7.48,9.83
123,7/8/2016,4.49,4.99,5.62,6.45,7.64,10.05
124,7/7/2016,4.57,5.08,5.72,6.57,7.78,10.23
125,7/6/2016,4.61,5.13,5.77,6.62,7.85,10.32
126,7/5/2016,4.66,5.19,5.84,6.71,7.95,10.44
127,7/4/2016,4.72,5.25,5.91,6.78,8.04,10.57
128,7/3/2016,4.76,5.29,5.95,6.84,8.1,10.65
129,7/2/2016,4.82,5.36,6.03,6.93,8.21,10.79
130,7/1/2016,4.9,5.45,6.13,7.05,8.35,10.97
131,6/30/2016,4.97,5.53,6.23,7.15,8.47,11.14
132,6/29/2016,5.05,5.62,6.32,7.26,8.6,11.31
133,6/28/2016,5.13,5.71,6.43,7.38,8.75,11.5
134,6/27/2016,5.21,5.8,6.53,7.5,8.88,11.67
135,6/26/2016,5.32,5.92,6.66,7.65,9.07,11.92
136,6/25/2016,5.33,5.93,6.67,7.66,9.08,11.93
137,6/24/2016,5.33,5.94,6.68,7.67,9.09,11.95
138,6/23/2016,5.34,5.95,6.69,7.69,9.11,11.97
139,6/22/2016,5.31,5.91,6.65,7.64,9.06,11.9
140,6/21/2016,5.31,5.91,6.64,7.63,9.04,11.88
141,6/20/2016,5.29,5.89,6.63,7.61,9.02,11.85
142,6/19/2016,5.28,5.88,6.61,7.6,9,11.83
143,6/18/2016,5.24,5.83,6.56,7.53,8.93,11.73
144,6/17/2016,5.17,5.76,6.48,7.44,8.82,11.59
145,6/16/2016,5.07,5.64,6.35,7.29,8.64,11.36
146,6/15/2016,5.02,5.58,6.28,7.21,8.55,11.24
147,6/14/2016,4.96,5.52,6.21,7.14,8.46,11.12
148,6/13/2016,4.92,5.47,6.16,7.07,8.38,11.01
149,6/12/2016,4.86,5.41,6.09,7,8.29,10.9
150,6/11/2016,4.83,5.38,6.05,6.95,8.24,10.83
151,6/10/2016,4.81,5.36,6.02,6.92,8.2,10.78
152,6/9/2016,4.79,5.33,6,6.89,8.17,10.73
153,6/8/2016,4.81,5.35,6.02,6.91,8.19,10.77
154,6/7/2016,4.79,5.33,6,6.89,8.16,10.73
155,6/6/2016,4.78,5.32,5.99,6.87,8.15,10.71
156,6/5/2016,4.77,5.31,5.98,6.87,8.14,10.7
157,6/4/2016,4.79,5.33,5.99,6.88,8.16,10.72
158,6/3/2016,4.8,5.34,6.01,6.9,8.17,10.74
159,6/2/2016,4.85,5.39,6.07,6.97,8.26,10.86
160,6/1/2016,4.84,5.38,6.05,6.95,8.24,10.83
161,5/31/2016,4.83,5.37,6.04,6.94,8.22,10.81
162,5/30/2016,4.82,5.36,6.03,6.93,8.21,10.79
163,5/29/2016,4.8,5.35,6.02,6.91,8.19,10.76
164,5/28/2016,4.79,5.33,5.99,6.89,8.16,10.72
165,5/27/2016,4.76,5.3,5.96,6.85,8.12,10.67
166,5/26/2016,4.73,5.26,5.92,6.8,8.06,10.59
167,5/25/2016,4.69,5.22,5.88,6.75,8,10.51
168,5/24/2016,4.67,5.2,5.84,6.71,7.96,10.46
169,5/23/2016,4.63,5.16,5.8,6.67,7.9,10.38
170,5/22/2016,4.59,5.11,5.75,6.6,7.83,10.29
171,5/21/2016,4.54,5.05,5.68,6.53,7.74,10.17
172,5/20/2016,4.49,5,5.62,6.46,7.65,10.06
173,5/19/2016,4.45,4.95,5.57,6.4,7.59,9.97
174,5/18/2016,4.42,4.92,5.54,6.36,7.54,9.91
175,5/17/2016,4.4,4.9,5.51,6.33,7.5,9.86
176,5/16/2016,4.4,4.89,5.5,6.32,7.49,9.85
177,5/15/2016,4.39,4.89,5.5,6.32,7.49,9.84
178,5/14/2016,4.39,4.89,5.5,6.32,7.49,9.84
179,5/13/2016,4.4,4.89,5.5,6.32,7.49,9.85
180,5/12/2016,4.41,4.91,5.52,6.34,7.51,9.88
181,5/11/2016,4.43,4.93,5.54,6.37,7.54,9.91
182,5/10/2016,4.43,4.94,5.55,6.38,7.56,9.93
183,5/9/2016,4.44,4.94,5.56,6.39,7.57,9.95
184,5/8/2016,4.46,4.96,5.58,6.41,7.6,9.98
185,5/7/2016,4.48,4.99,5.61,6.44,7.63,10.03
186,5/6/2016,4.49,5,5.62,6.46,7.65,10.06
187,5/5/2016,4.48,4.99,5.62,6.45,7.64,10.05
188,5/4/2016,4.47,4.97,5.6,6.43,7.62,10.01
189,5/3/2016,4.45,4.95,5.57,6.4,7.58,9.97
190,5/2/2016,4.43,4.93,5.55,6.37,7.55,9.92
191,5/1/2016,4.41,4.91,5.52,6.34,7.51,9.87
192,4/30/2016,4.38,4.88,5.48,6.3,7.47,9.81
193,4/29/2016,4.35,4.84,5.45,6.26,7.42,9.75
194,4/28/2016,4.33,4.81,5.42,6.22,7.37,9.69
195,4/27/2016,4.31,4.79,5.39,6.19,7.34,9.65
196,4/26/2016,4.29,4.77,5.37,6.17,7.31,9.6
197,4/25/2016,4.28,4.76,5.36,6.15,7.29,9.59
198,4/24/2016,4.25,4.73,5.32,6.11,7.24,9.52
199,4/23/2016,4.2,4.67,5.26,6.04,7.16,9.41
200,4/22/2016,4.15,4.62,5.19,5.97,7.07,9.29
201,4/21/2016,4.09,4.56,5.13,5.89,6.98,9.17
202,4/20/2016,4.04,4.49,5.05,5.8,6.88,9.04
203,4/19/2016,3.98,4.43,4.98,5.72,6.78,8.91
204,4/18/2016,3.91,4.36,4.9,5.63,6.67,8.76
205,4/17/2016,3.86,4.3,4.83,5.55,6.58,8.64
206,4/16/2016,3.83,4.26,4.8,5.51,6.53,8.58
207,4/15/2016,3.81,4.24,4.77,5.48,6.49,8.53
208,4/14/2016,3.79,4.21,4.74,5.44,6.45,8.48
209,4/13/2016,3.76,4.18,4.71,5.41,6.41,8.42
210,4/12/2016,3.73,4.15,4.67,5.36,6.36,8.35
211,4/11/2016,3.69,4.1,4.62,5.3,6.29,8.26
212,4/10/2016,3.66,4.08,4.59,5.27,6.25,8.21
213,4/9/2016,3.66,4.08,4.59,5.27,6.24,8.2
214,4/8/2016,3.67,4.09,4.6,5.28,6.26,8.23
215,4/7/2016,3.7,4.12,4.63,5.32,6.3,8.28
216,4/6/2016,3.73,4.15,4.67,5.36,6.36,8.35
217,4/5/2016,3.75,4.18,4.7,5.4,6.4,8.41
218,4/4/2016,3.79,4.22,4.75,5.45,6.46,8.49
219,4/3/2016,3.82,4.25,4.78,5.49,6.51,8.56
220,4/2/2016,3.83,4.26,4.8,5.51,6.53,8.58
221,4/1/2016,3.84,4.27,4.81,5.52,6.55,8.6
222,3/31/2016,3.82,4.25,4.79,5.5,6.51,8.56
223,3/30/2016,3.81,4.24,4.77,5.48,6.49,8.53
224,3/29/2016,3.81,4.24,4.77,5.48,6.49,8.53
225,3/28/2016,3.82,4.25,4.78,5.49,6.51,8.56
226,3/27/2016,3.83,4.26,4.79,5.5,6.52,8.57
227,3/26/2016,3.83,4.26,4.79,5.5,6.52,8.57
228,3/25/2016,3.82,4.25,4.78,5.49,6.51,8.55
229,3/24/2016,3.8,4.23,4.76,5.47,6.48,8.51
230,3/23/2016,3.77,4.2,4.73,5.43,6.43,8.45
231,3/22/2016,3.74,4.16,4.68,5.38,6.38,8.38
232,3/21/2016,3.69,4.11,4.62,5.31,6.3,8.27
233,3/20/2016,3.64,4.06,4.56,5.24,6.21,8.16
234,3/19/2016,3.59,4,4.5,5.17,6.12,8.05
235,3/18/2016,3.53,3.93,4.42,5.07,6.01,7.9
236,3/17/2016,3.48,3.88,4.36,5.01,5.94,7.81
237,3/16/2016,3.44,3.82,4.3,4.94,5.86,7.7
238,3/15/2016,3.39,3.77,4.24,4.87,5.77,7.58
239,3/14/2016,3.34,3.71,4.18,4.8,5.69,7.48
240,3/13/2016,3.29,3.67,4.13,4.74,5.61,7.38
241,3/12/2016,3.25,3.62,4.07,4.68,5.54,7.29
242,3/11/2016,3.22,3.58,4.03,4.63,5.48,7.21
243,3/10/2016,3.19,3.55,4,4.59,5.44,7.15
244,3/9/2016,3.18,3.53,3.98,4.57,5.41,7.11
245,3/8/2016,3.17,3.53,3.97,4.56,5.4,7.1
246,3/7/2016,3.18,3.53,3.98,4.57,5.41,7.11
247,3/6/2016,3.18,3.54,3.99,4.58,5.43,7.13
248,3/5/2016,3.19,3.55,4,4.59,5.44,7.15
249,3/4/2016,3.21,3.57,4.01,4.61,5.46,7.18
250,3/3/2016,3.21,3.58,4.02,4.62,5.48,7.2
251,3/2/2016,3.12,3.47,3.91,4.49,5.32,6.99
252,3/1/2016,3.02,3.36,3.79,4.35,5.15,6.77
253,2/29/2016,2.89,3.21,3.62,4.15,4.92,6.47
254,2/28/2016,2.75,3.06,3.44,3.96,4.69,6.16
255,2/27/2016,2.64,2.93,3.3,3.79,4.49,5.9
256,2/26/2016,2.52,2.8,3.15,3.62,4.29,5.64
257,2/25/2016,2.39,2.66,2.99,3.43,4.07,5.35
258,2/24/2016,2.26,2.52,2.84,3.26,3.86,5.07
259,2/23/2016,2.14,2.38,2.68,3.08,3.65,4.79
260,2/22/2016,2.01,2.24,2.52,2.89,3.42,4.5
261,2/21/2016,1.89,2.1,2.36,2.71,3.21,4.23
262,2/20/2016,1.77,1.97,2.21,2.54,3.01,3.96
263,2/19/2016,1.67,1.85,2.09,2.4,2.84,3.73
264,2/18/2016,1.57,1.75,1.96,2.26,2.67,3.51
265,2/17/2016,1.58,1.76,1.98,2.27,2.69,3.53
266,2/16/2016,1.61,1.79,2.01,2.31,2.74,3.6
267,2/15/2016,1.72,1.92,2.16,2.48,2.94,3.86
268,2/14/2016,1.83,2.03,2.29,2.63,3.11,4.09
269,2/13/2016,1.88,2.09,2.35,2.7,3.2,4.2
270,2/12/2016,1.95,2.17,2.45,2.81,3.33,4.37
271,2/11/2016,2.04,2.27,2.55,2.93,3.48,4.57
272,2/10/2016,2.12,2.36,2.65,3.04,3.61,4.74
273,2/9/2016,2.18,2.43,2.73,3.13,3.71,4.88
274,2/8/2016,2.23,2.49,2.8,3.21,3.81,5
275,2/7/2016,2.29,2.54,2.86,3.29,3.9,5.12
276,2/6/2016,2.29,2.54,2.86,3.29,3.9,5.12
277,2/5/2016,2.29,2.54,2.86,3.29,3.9,5.12
278,2/4/2016,2.29,2.54,2.86,3.29,3.9,5.12
279,2/3/2016,2.29,2.54,2.86,3.29,3.9,5.12
280,2/2/2016,2.29,2.54,2.86,3.29,3.9,5.12
281,2/1/2016,2.29,2.54,2.86,3.29,3.9,5.12
282,1/31/2016,2.29,2.54,2.86,3.29,3.9,5.12
283,1/30/2016,2.29,2.54,2.86,3.29,3.9,5.12
284,1/29/2016,2.29,2.54,2.86,3.29,3.9,5.12
285,1/28/2016,2.29,2.54,2.86,3.29,3.9,5.12
286,1/27/2016,2.29,2.54,2.86,3.29,3.9,5.12
287,1/26/2016,2.29,2.54,2.86,3.29,3.9,5.12
288,1/25/2016,2.29,2.54,2.86,3.29,3.9,5.12
289,1/24/2016,2.29,2.54,2.86,3.29,3.9,5.12
290,1/23/2016,2.29,2.54,2.86,3.29,3.9,5.12
291,1/22/2016,2.29,2.54,2.86,3.29,3.9,5.12
292,1/21/2016,2.29,2.54,2.86,3.29,3.9,5.12
293,1/20/2016,2.29,2.54,2.86,3.29,3.9,5.12
294,1/19/2016,2.29,2.54,2.86,3.29,3.9,5.12
295,1/18/2016,2.29,2.54,2.86,3.29,3.9,5.12
296,1/17/2016,2.29,2.54,2.86,3.29,3.9,5.12
297,1/16/2016,2.29,2.54,2.86,3.29,3.9,5.12
298,1/15/2016,2.29,2.54,2.86,3.29,3.9,5.12
299,1/14/2016,2.29,2.54,2.86,3.29,3.9,5.12
300,1/13/2016,2.29,2.54,2.86,3.29,3.9,5.12
301,1/12/2016,2.29,2.54,2.86,3.29,3.9,5.12
302,1/11/2016,2.29,2.54,2.86,3.29,3.9,5.12
303,1/10/2016,2.29,2.54,2.86,3.29,3.9,5.12
304,1/9/2016,2.29,2.54,2.86,3.29,3.9,5.12
305,1/8/2016,2.29,2.54,2.86,3.29,3.9,5.12
306,1/7/2016,2.29,2.54,2.86,3.29,3.9,5.12
307,1/6/2016,2.29,2.54,2.86,3.29,3.9,5.12
308,1/5/2016,2.29,2.54,2.86,3.29,3.9,5.12
309,1/4/2016,2.29,2.54,2.86,3.29,3.9,5.12
